iter	Passed	Remaining
0	0	85
1	1	78
2	2	73
3	2	67
4	3	67
5	4	67
6	5	66
7	5	65
8	6	64
9	7	64
10	7	63
11	8	62
12	9	61
13	9	60
14	10	60
15	11	59
16	12	58
17	12	57
18	13	57
19	14	56
20	14	55
21	15	54
22	16	54
23	16	53
24	17	52
25	18	52
26	19	51
27	19	50
28	20	50
29	21	49
30	21	48
31	22	47
32	23	47
33	23	46
34	24	45
35	25	45
36	26	44
37	26	43
38	27	43
39	28	42
40	29	41
41	29	40
42	30	39
43	30	39
44	31	38
45	32	37
46	32	36
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	32
54	38	31
55	38	30
56	39	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	52	16
76	53	15
77	54	15
78	55	14
79	55	13
80	56	13
81	57	12
82	57	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	69	0
99	69	0
